"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"93717","1","mRNA-miRNA","-2.05638325192355","MAOA","DOWN","false","0","MAOA","mRNA"
"93718","40","mRNA-miRNA","1.40064772543765","SHMT2","UP","false","0","SHMT2","mRNA"
"93719","8","mRNA-miRNA","-1.40911279235221","ATP1A1","DOWN","false","0","ATP1A1","mRNA"
"93720","0","mRNA-miRNA","-1.35502749896666","CLCN2","DOWN","false","0","CLCN2","mRNA"
"93721","16","mRNA-miRNA","1.61832573280116","EXOSC2","UP","false","1","EXOSC2","mRNA"
"93722","6","mRNA-miRNA","1.19604311096505","RFC4","UP","false","0","RFC4","mRNA"
"93723","7","mRNA-miRNA","0.774729086355998","RPL35","UP","false","0","RPL35","mRNA"
"93724","2","mRNA-miRNA","1.48462690992523","MPG","UP","false","0","MPG","mRNA"
"93725","1","mRNA-miRNA","-1.58529730943358","HADH","DOWN","false","0","HADH","mRNA"
"93726","1","mRNA-miRNA","-3.42586425659022","SEMA6A","DOWN","false","0","SEMA6A","mRNA"
"93727",,"mRNA-miRNA","-0.635749024731191","MBP","DOWN","false","0","MBP","mRNA"
"93728","0","mRNA-miRNA","5.26636333136815","PDX1","UP","false","0","PDX1","mRNA"
"93729","4","mRNA-miRNA","-1.22351323294952","FOSL2","DOWN","false","0","FOSL2","mRNA"
"93730","0","mRNA-miRNA","-1.28950704083992","B2M","DOWN","false","0","B2M","mRNA"
"93731","7","mRNA-miRNA","1.073767381836","RPS14","UP","false","0","RPS14","mRNA"
"93732","1","mRNA-miRNA","1.23503315112217","TELO2","UP","false","0","TELO2","mRNA"
"93733",,"mRNA-miRNA","2.43915300093247","CCNO","UP","false","0","CCNO","mRNA"
"93734","2","mRNA-miRNA","1.64428514760401","MRGBP","UP","false","0","MRGBP","mRNA"
"93735",,"mRNA-miRNA","3.92743010452927","AMH","UP","false","0","AMH","mRNA"
"93736","2","mRNA-miRNA","-1.19516752987018","RCAN1","DOWN","false","0","RCAN1","mRNA"
"93737","3","mRNA-miRNA","1.67794492447532","EPHB4","UP","false","0","EPHB4","mRNA"
"93738",,"mRNA-miRNA","1.43743404401545","XPO4","UP","false","0","XPO4","mRNA"
"93739","0","mRNA-miRNA","-0.871030876554468","PPTC7","DOWN","false","0","PPTC7","mRNA"
"93740","2","mRNA-miRNA","0.986763966901499","ODF2","UP","false","0","ODF2","mRNA"
"93741",,"mRNA-miRNA","-0.896713135461624","VSIG10","DOWN","false",,"VSIG10","mRNA"
"93742",,"mRNA-miRNA","-1.83034426730268","KCTD9","DOWN","false",,"KCTD9","mRNA"
